"lon","lat","bathy"
68,89,-4251.9683
69,89,-4251.9683
70,89,-4251.9683
71,89,-4251.9683
72,89,-4251.9683
73,89,-4251.9683
74,89,-4251.9683
75,89,-4251.9683
76,89,-4251.9683
77,89,-4251.9683
78,89,-4251.9683
79,89,-4251.9683
80,89,-4251.9683
81,89,-4251.9683
82,89,-4251.9683
83,89,-4251.9683
84,89,-4251.9683
85,89,-4251.9683
86,89,-4251.9683
87,89,-4251.9683
88,89,-4251.9683
89,89,-4251.9683
90,89,-4251.9683
91,89,-4251.9683
92,89,-4251.9683
93,89,-4251.9683
94,89,-4251.9683
95,89,-4251.9683
96,89,-4251.9683
97,89,-4251.9683
98,89,-4251.9683
99,89,-4251.9683
100,89,-4220.4727
101,89,-4220.4727
102,89,-4220.4727
103,89,-4220.4727
104,89,-4220.4727
105,89,-4220.4727
106,89,-4220.4727
107,89,-4220.4727
108,89,-4220.4727
109,89,-4220.4727
110,89,-4220.4727
111,89,-4220.4727
112,89,-4220.4727
113,89,-4220.4727
114,89,-4220.4727
115,89,-4188.9766
116,89,-4188.9766
117,89,-4157.4805
118,89,-4125.9844
119,89,-4094.4883
120,89,-4031.496
121,89,-4000
122,89,-3937.0078
123,89,-3968.504
124,89,-3842.5198
125,89,-3685.0393
126,89,-3527.559
127,89,-3275.5906
128,89,-2834.6458
129,89,-2614.1733
130,89,-2425.1968
131,89,-2110.2363
132,89,-1669.2914
133,89,-1354.3307
134,89,-1196.8503
135,89,-1133.8583
136,89,-1133.8583
137,89,-1228.3464
138,89,-1448.8188
139,89,-1700.7874
140,89,-1952.7559
141,89,-2267.7166
142,89,-2393.7007
143,89,-2393.7007
144,89,-2425.1968
145,89,-2425.1968
146,89,-2456.6929
147,89,-2551.1812
148,89,-2614.1733
149,89,-2582.6772
150,89,-2425.1968
151,89,-2204.7244
152,89,-2015.748
153,89,-1669.2914
154,89,-1637.7953
155,89,-1763.7795
156,89,-1858.2677
157,89,-1826.7716
158,89,-1889.7638
159,89,-2173.2283
160,89,-2551.1812
161,89,-2582.6772
162,89,-2551.1812
163,89,-2582.6772
164,89,-2645.6692
165,89,-2740.1575
166,89,-2803.1497
167,89,-2866.1418
168,89,-2897.6377
169,89,-2834.6458
170,89,-2834.6458
171,89,-3023.622
172,89,-3055.1182
173,89,-3086.6143
174,89,-3118.1104
175,89,-3149.6062
176,89,-3149.6062
177,89,-3244.0945
178,89,-3527.559
179,89,-3779.5276
-180,88,-3842.5198
-179,88,-3842.5198
-178,88,-3842.5198
-177,88,-3842.5198
-176,88,-3842.5198
-175,88,-3842.5198
-174,88,-3842.5198
-173,88,-3842.5198
-172,88,-3842.5198
-171,88,-3842.5198
-170,88,-3842.5198
-169,88,-3811.0237
-168,88,-3653.5432
-167,88,-3527.559
-166,88,-3370.0789
-165,88,-3181.1023
-164,88,-3086.6143
-163,88,-3023.622
-162,88,-2960.63
-161,88,-2897.6377
-160,88,-2866.1418
-159,88,-2866.1418
-158,88,-2960.63
-157,88,-3212.5984
-156,88,-2992.126
-155,88,-2897.6377
-154,88,-2866.1418
-153,88,-2834.6458
-152,88,-2771.6536
-151,88,-2771.6536
-150,88,-2803.1497
-149,88,-2803.1497
-148,88,-2803.1497
-147,88,-2803.1497
-146,88,-2866.1418
-145,88,-2960.63
-144,88,-3118.1104
-143,88,-2960.63
-142,88,-2992.126
-141,88,-3023.622
-140,88,-3055.1182
-139,88,-3118.1104
-138,88,-3118.1104
-137,88,-3086.6143
-136,88,-3023.622
-135,88,-3023.622
-134,88,-3023.622
-133,88,-3023.622
-132,88,-2960.63
-131,88,-2960.63
-130,88,-3149.6062
-129,88,-3181.1023
-128,88,-3023.622
-127,88,-3212.5984
-126,88,-3086.6143
-125,88,-3055.1182
-124,88,-3244.0945
-123,88,-3212.5984
-122,88,-3212.5984
-121,88,-3181.1023
-120,88,-3212.5984
-119,88,-3212.5984
-118,88,-3244.0945
-117,88,-3275.5906
-116,88,-3275.5906
-115,88,-3212.5984
-114,88,-3212.5984
-113,88,-3118.1104
-112,88,-3055.1182
-111,88,-3181.1023
-110,88,-3212.5984
-109,88,-3181.1023
-108,88,-3212.5984
-107,88,-3149.6062
-106,88,-2992.126
-105,88,-2992.126
-104,88,-2960.63
-103,88,-2834.6458
-102,88,-2803.1497
-101,88,-2992.126
-100,88,-2992.126
-99,88,-2614.1733
-98,88,-2267.7166
-97,88,-2078.7402
-96,88,-2047.2441
-95,88,-2015.748
-94,88,-2015.748
-93,88,-2015.748
-92,88,-1984.252
-91,88,-1952.7559
-90,88,-1952.7559
-89,88,-1921.2599
-88,88,-1921.2599
-87,88,-1984.252
