"x","y","sst","chlo","a","b","phyto_max"
-72.5,72.5,0.831657999659347,0.14706568721263,-3.01199024916699,-1.01949388780559,-7.8
-67.5,72.5,0.938917017739923,0.136512102700864,-3.08137763616706,-1.02324057333474,-7.9
-62.5,72.5,0.988939174605011,0.130548348042561,-3.13776939026317,-1.02663697308581,-7.9
-57.5,72.5,1.49612706754574,0.289808523653487,-2.1612114073898,-0.965338830122931,-7.6
-52.5,72.5,NA,NA,NA,NA,NA
-47.5,72.5,NA,NA,NA,NA,NA
-42.5,72.5,NA,NA,NA,NA,NA
-37.5,72.5,NA,NA,NA,NA,NA
-32.5,72.5,NA,NA,NA,NA,NA
-27.5,72.5,NA,NA,NA,NA,NA
-22.5,72.5,0.768845194105124,0.15491997498324,-2.94487629246491,-1.01536792317881,-7.8
-17.5,72.5,0.865395575694224,0.354133579064521,-1.91681860506506,-0.948807803273429,-7.5
-12.5,72.5,1.5999705674577,0.7858296749795,-1.12042424932126,-0.892161574423436,-6.8
-7.5,72.5,2.63562015734692,0.87843376086879,-1.01837003030537,-0.884455387741806,-6.7
-2.5,72.5,3.791329370058,0.722506986082675,-1.18640872268916,-0.897004517799304,-6.9
2.5,72.5,4.84558547817212,0.672437825909841,-1.23636063063175,-0.900567973404374,-7
7.5,72.5,6.11739588994831,0.659687529523147,-1.26364180673168,-0.902646483334085,-7
12.5,72.5,6.94660582887225,0.756748074933986,-1.12133501600325,-0.892000435622816,-6.9
17.5,72.5,7.0328457527254,0.878987860107155,-1.01750973387359,-0.884388331177007,-6.7
22.5,72.5,5.60165698545494,1.15804713658948,-0.804325938591844,-0.868134941292209,-6.4
27.5,72.5,5.64591037133205,1.59327420384132,-0.558924451589578,-0.848812252473097,-6.1
32.5,72.5,5.26370388975151,1.88255886508891,-0.462268700213456,-0.84109271493688,-5.9
37.5,72.5,4.03457700415933,2.07477366914567,-0.401411778883485,-0.836149585037092,-5.8
42.5,72.5,3.35342539126282,1.70888037099711,-0.525145064098795,-0.846153340062439,-6
47.5,72.5,3.15039503603043,1.22340868036033,-0.734362980015748,-0.862570709224839,-6.4
52.5,72.5,2.44613750336664,0.879558707062715,-1.01662410690561,-0.884319296960218,-6.7
57.5,72.5,1.3942729925731,0.298516976231246,-2.11883436911519,-0.962426601597911,-7.6
62.5,72.5,1.20933346765819,0.460371382161736,-1.63096878057925,-0.929095796429864,-7.3
67.5,72.5,1.19442322420114,0.989786910614533,-0.90863967913629,-0.876054467272729,-6.6
72.5,72.5,0.964888572692876,1.37545231867876,-0.687155570703161,-0.859046079485182,-6.2
77.5,72.5,0.899858305189348,0.983079351852689,-0.917698908662056,-0.87676632415997,-6.6
82.5,72.5,NA,NA,NA,NA,NA
87.5,72.5,NA,NA,NA,NA,NA
92.5,72.5,NA,NA,NA,NA,NA
97.5,72.5,NA,NA,NA,NA,NA
102.5,72.5,NA,NA,NA,NA,NA
107.5,72.5,NA,NA,NA,NA,NA
112.5,72.5,NA,NA,NA,NA,NA
117.5,72.5,0.662079482608375,0.605151972462879,-1.33565011516481,-0.907819645114416,-7.1
122.5,72.5,0.733250333392435,0.695370789148492,-1.24051519723292,-0.901149964394613,-6.9
127.5,72.5,0.815006213717994,0.728797350682919,-1.17419391328762,-0.896066724751101,-6.9
132.5,72.5,0.880516044244748,1.04341697709205,-0.889536482543559,-0.874721186967872,-6.5
137.5,72.5,0.895209251888218,1.16992412422839,-0.79125244430068,-0.86709664396135,-6.4
142.5,72.5,NA,NA,NA,NA,NA
147.5,72.5,0.460049697979781,0.616275334114834,-1.36108154555172,-0.910039148194205,-7
152.5,72.5,0.390007406567773,0.295301817906735,-2.13434975211677,-0.963494404479828,-7.6
157.5,72.5,0.669177400930672,0.302221306677881,-2.1453842929954,-0.964765273411307,-7.5
162.5,72.5,0.902135296356987,0.240873969708456,-2.38248902277489,-0.979783937809125,-7.7
167.5,72.5,0.837462243176015,0.186265246722294,-2.70112768112434,-1.0000574666776,-7.8
172.5,72.5,0.744572095865755,0.187619451446897,-2.69136158805587,-0.999433654904715,-7.8
177.5,72.5,0.916522460441565,0.182349305192137,-2.72969589973019,-1.00187775000613,-7.8
-177.5,67.5,2.27060549263392,0.650997788117608,-1.28257185997136,-0.904086527567516,-7
-172.5,67.5,1.81094639850042,0.544538747654626,-1.48813974198336,-0.919265864275071,-7.1
-167.5,67.5,1.97122880996221,0.743976856407638,-1.14520532460387,-0.893838317985855,-6.9
-162.5,67.5,NA,NA,NA,NA,NA
-157.5,67.5,NA,NA,NA,NA,NA
-152.5,67.5,NA,NA,NA,NA,NA
-147.5,67.5,NA,NA,NA,NA,NA
-142.5,67.5,NA,NA,NA,NA,NA
-137.5,67.5,NA,NA,NA,NA,NA
-132.5,67.5,NA,NA,NA,NA,NA
-127.5,67.5,NA,NA,NA,NA,NA
-122.5,67.5,NA,NA,NA,NA,NA
-117.5,67.5,NA,NA,NA,NA,NA
-112.5,67.5,NA,NA,NA,NA,NA
-107.5,67.5,NA,NA,NA,NA,NA
-102.5,67.5,NA,NA,NA,NA,NA
-97.5,67.5,NA,NA,NA,NA,NA
-92.5,67.5,NA,NA,NA,NA,NA
-87.5,67.5,NA,NA,NA,NA,NA
-82.5,67.5,0.347739149275288,0.249104636371915,-2.37550132684945,-0.979855819721703,-7.6
-77.5,67.5,0.231930917406846,0.322158443844889,-2.05365579314725,-0.958407086318426,-7.5
-72.5,67.5,NA,NA,NA,NA,NA
-67.5,67.5,0.698874037606381,0.107140735479798,-3.37984779497003,-1.04088581497704,-7.9
-62.5,67.5,0.75382802560117,0.141734503016909,-3.0335249070812,-1.02033636067083,-7.9
-57.5,67.5,1.64165991677179,0.514618795317321,-1.51906217385786,-0.921220558951018,-7.2
-52.5,67.5,2.70646695434734,1.81752129147377,-0.501908242309565,-0.844332707514861,-5.9
-47.5,67.5,NA,NA,NA,NA,NA
-42.5,67.5,NA,NA,NA,NA,NA
-37.5,67.5,2.81230207473514,0.442874511769692,-1.68749520546089,-0.933221901099751,-7.3
-32.5,67.5,3.75761653506568,0.398600340442152,-1.79201012512177,-0.940362356004252,-7.4
-27.5,67.5,4.17870970478766,0.581264518651242,-1.39371585171942,-0.91219342908185,-7.1
-22.5,67.5,2.09498482605323,0.45831757490042,-1.63749207035921,-0.929573001336033,-7.3
-17.5,67.5,2.52387794010225,0.91718715947027,-0.959709665423374,-0.879876008192187,-6.7
-12.5,67.5,3.896276759294,0.961057279516469,-0.947976471713575,-0.879143096608079,-6.6
-7.5,67.5,4.99802460317261,0.738611134297562,-1.15537462996653,-0.894620498271797,-6.9
-2.5,67.5,6.88203833544698,0.702910691665639,-1.22524634824597,-0.899981551449473,-6.9
2.5,67.5,8.20108400274209,0.810493110113498,-1.07752246159145,-0.888841870004246,-6.8
7.5,67.5,8.81000126429969,0.933588894140992,-0.986935019263843,-0.882195880909112,-6.6
12.5,67.5,8.48517352512907,1.09669519037522,-0.824407631522005,-0.869576246974218,-6.5
17.5,67.5,8.14218165079755,1.26447656082765,-0.742438574901588,-0.863346762612191,-6.3
22.5,67.5,NA,NA,NA,NA,NA
27.5,67.5,NA,NA,NA,NA,NA
32.5,67.5,NA,NA,NA,NA,NA
37.5,67.5,4.98056966236662,1.33176860119048,-0.677834186245516,-0.858181215939062,-6.3
42.5,67.5,3.91134049681581,1.20663029100529,-0.751869798694306,-0.863964839176359,-6.4
47.5,67.5,3.32127128379056,1.28650002755732,-0.720827981471746,-0.861620698138901,-6.3
52.5,67.5,NA,NA,NA,NA,NA
57.5,67.5,NA,NA,NA,NA,NA
62.5,67.5,NA,NA,NA,NA,NA
67.5,67.5,NA,NA,NA,NA,NA
72.5,67.5,NA,NA,NA,NA,NA
77.5,67.5,NA,NA,NA,NA,NA
82.5,67.5,NA,NA,NA,NA,NA
87.5,67.5,NA,NA,NA,NA,NA
92.5,67.5,NA,NA,NA,NA,NA
97.5,67.5,NA,NA,NA,NA,NA
102.5,67.5,NA,NA,NA,NA,NA
