"","x","y","sst","chlo","a","b","phyto_max","dt"
"1364",-42.5,-52.5,2.90572646988765,0.616884004642583,-0.444655755243674,-0.885477690758941,-7.7,0.01
"1365",-37.5,-52.5,2.38328341566183,0.789726741956511,-0.0807276589191988,-0.856585810104992,-7.6,0.01
"1366",-32.5,-52.5,1.69015450654209,0.493287536983511,-0.807847562509208,-0.913724698822127,-7.8,0.01
"1367",-27.5,-52.5,2.11941626151826,0.505894577502073,-0.765586452293879,-0.910468946125933,-7.8,0.01
"1368",-22.5,-52.5,2.5623674995685,0.464887765657554,-0.908198360557796,-0.921422176254705,-7.8,0.01
"1369",-17.5,-52.5,2.3743478372194,0.423085551967618,-1.0702998497937,-0.933755735132284,-7.9,0.01
"1370",-12.5,-52.5,1.7354986197524,0.348442637086637,-1.41166039309932,-0.959314518320905,-7.9,0.01
"1371",-7.5,-52.5,1.00770946297488,0.249301204820946,-2.00979338164692,-1.00271316466649,-8,0.01
"1372",-2.5,-52.5,0.984367137232807,0.234998568255434,-2.11504118560643,-1.01016401372779,-8,0.01
"1373",2.5,-52.5,1.12428246208812,0.261573798075576,-1.92397670112032,-0.996596503229642,-8,0.01
"1374",7.5,-52.5,1.20265081202124,0.246393795207831,-2.03071632485531,-1.00419883327072,-8,0.01
"1375",12.5,-52.5,0.78648477912582,0.24696964729364,-2.02655364352988,-1.00390343134857,-8,0.01
"1376",17.5,-52.5,0.858104490687208,0.264943690775836,-1.90109310846189,-0.994959191834217,-8,0.01
"1377",22.5,-52.5,0.734339069100726,0.241007775477774,-2.07010367636721,-1.00698959386382,-8,0.01
"1378",27.5,-52.5,1.37343363627347,0.240294370557694,-2.075383064933,-1.00736306427637,-8,0.01
"1379",32.5,-52.5,1.92224126097599,0.23186945113878,-2.13886954105317,-1.01184311196407,-8,0.01
"1380",37.5,-52.5,1.94382003400694,0.217120083660639,-2.25536569800439,-1.02001060152212,-8.1,0.01
"1381",42.5,-52.5,1.48634710084827,0.197726409032439,-2.42004845313714,-1.03143803451359,-8.1,0.01
"1382",47.5,-52.5,1.76453467432997,0.191438937936863,-2.47654804487788,-1.03532640975585,-8.1,0.01
"1383",52.5,-52.5,2.18710575986794,0.1818187515096,-2.56623515811012,-1.04146480939572,-8.1,0.01
"1384",57.5,-52.5,2.36985144741323,0.173602880438054,-2.64615255453066,-1.04689920670003,-8.1,0.01
"1385",62.5,-52.5,2.50523967288792,0.167821246798713,-2.70435843211842,-1.0508361179548,-8.1,0.01
"1386",67.5,-52.5,2.44613422994263,0.176633409769461,-2.61630214754175,-1.04487328542535,-8.1,0.01
"1387",72.5,-52.5,2.13399265068477,0.287113136507027,-1.75731455391664,-0.98461177787852,-8,0.01
"1388",77.5,-52.5,1.57016625185705,0.226671640445751,-2.17912147734003,-1.01467296906391,-8,0.01
"1389",82.5,-52.5,2.17948066006685,0.270646918543426,-1.86300363830253,-0.992228071078828,-8,0.01
"1390",87.5,-52.5,3.31339875175842,0.275098911690013,-1.83381364924803,-0.990130139595781,-8,0.01
"1391",92.5,-52.5,3.46376422422906,0.24390007134636,-2.04885014369116,-1.00548466581569,-8,0.01
"1392",97.5,-52.5,3.07515515423328,0.223530402149914,-2.20386410880045,-1.01640837522276,-8,0.01
"1393",102.5,-52.5,2.77517146736228,0.208643037518195,-2.32564651975072,-1.02490445195091,-8.1,0.01
"1394",107.5,-52.5,2.8481291735614,0.1980581094542,-2.41711220164528,-1.03123550713144,-8.1,0.01
"1395",112.5,-52.5,2.99882914225263,0.172847349258294,-2.6536639777397,-1.04740826403547,-8.1,0.01
"1396",117.5,-52.5,3.86564221911962,0.167332154848252,-2.70936017419135,-1.05117359084464,-8.1,0.01
"1397",122.5,-52.5,4.5886077863199,0.163212102660687,-2.75199223156962,-1.05404464922868,-8.1,0.01
"1398",127.5,-52.5,5.17573669045062,0.157761995969049,-2.80979937075551,-1.05792225739627,-8.1,0.01
"1399",132.5,-52.5,5.36397290936225,0.156871251631006,-2.81940532899089,-1.05856488287113,-8.1,0.01
"1400",137.5,-52.5,5.1858889685737,0.159375146422472,-2.79251738493476,-1.05676487540517,-8.1,0.01
"1401",142.5,-52.5,4.86346448615748,0.166635201446848,-2.71650907367982,-1.05165570522958,-8.1,0.01
"1402",147.5,-52.5,5.73602088998867,0.177949992750341,-2.60347092122727,-1.04400100621295,-8.1,0.01
"1403",152.5,-52.5,6.49561601921366,0.189013518075938,-2.49878136103537,-1.03685200567613,-8.1,0.01
"1404",157.5,-52.5,6.90999028342113,0.199058343350891,-2.40828441936005,-1.0306263447362,-8.1,0.01
"1405",162.5,-52.5,7.53369826564085,0.225572567914354,-2.18774230481265,-1.01527797307652,-8,0.01
"1406",167.5,-52.5,8.1748316337949,0.226788913978172,-2.17820390151157,-1.01460855192353,-8,0.01
"1407",172.5,-52.5,7.52722897176392,0.197011161366197,-2.42639483491178,-1.03187562299527,-8.1,0.01
"1408",177.5,-52.5,7.09678223927818,0.200314246264734,-2.39725595050681,-1.02986475921203,-8.1,0.01
"1409",-177.5,-57.5,4.60643510793254,0.199345764488023,-2.40575502555568,-1.03045172949307,-8.1,0.01
"1410",-172.5,-57.5,4.16968314988275,0.20603764907664,-2.34776689266677,-1.02643951870658,-8.1,0.01
"1411",-167.5,-57.5,3.73712972913472,0.224397311165921,-2.19700378174201,-1.01592751588369,-8,0.01
"1412",-162.5,-57.5,3.01096164099546,0.241175705165854,-2.06886309658702,-1.00690181325497,-8,0.01
"1413",-157.5,-57.5,2.29432920829331,0.244352877596073,-2.04554439911017,-1.00525038605383,-8,0.01
"1414",-152.5,-57.5,1.32557553589031,0.243254518017351,-2.05357312375564,-1.00581928986309,-8,0.01
"1415",-147.5,-57.5,0.923074887543151,0.217049439544289,-2.2559409906572,-1.02005076332469,-8.1,0.01
